id,address_of_record,created_at,data,filing_date,grant_date,ip_type,match_confidence,number,owner_name,property_id,source,status,title,updated_at
114,"648 E 35th St., Baltimore, MD, 21218",2026-07-11 12:38:46 -0400,"{""geo_box"":""core"",""evidence"":""Owner address of record falls inside the corridor IP box (cross-35) — USPTO Trademark Case Files; no held parcel, ground-anchored."",""relevance"":""A registered trademark filed from within the corridor neighborhood — the neighborhood generates the IP."",""owner_type"":""10"",""matched_via"":""cross-35"",""raw_address"":""648 E 35th St."",""corridor_block"":35,""registration_no"":""6877834"",""uspto_status_cd"":""700"",""matched_location"":""648 E 35th St.""}",2021-09-24,2022-10-18,trademark,medium,97044639,"James, Shanel K.",,uspto_trademark_case_files,registered,BW BEAUTY SUPPLY,2026-07-11 12:39:22 -0400
118,"3216 Barclay St, Baltimore, MD, 21218",2026-07-11 12:38:46 -0400,"{""geo_box"":""core"",""evidence"":""Owner address of record falls inside the corridor IP box (ns-barclay) — USPTO Trademark Case Files; no held parcel, ground-anchored."",""relevance"":""A registered trademark filed from within the corridor neighborhood — the neighborhood generates the IP."",""owner_type"":""10"",""matched_via"":""ns-barclay"",""raw_address"":""3216 Barclay St"",""corridor_block"":32,""registration_no"":""0000000"",""uspto_status_cd"":""630"",""matched_location"":""3216 Barclay St""}",2023-07-31,,trademark,medium,98108788,Declassify UAP LLC,,uspto_trademark_case_files,pending,DECLASSIFY UAP,2026-07-11 12:39:22 -0400
119,"3216 Barclay St, Baltimore, MD, 21218",2026-07-11 12:38:46 -0400,"{""geo_box"":""core"",""evidence"":""Owner address of record falls inside the corridor IP box (ns-barclay) — USPTO Trademark Case Files; no held parcel, ground-anchored."",""relevance"":""A registered trademark filed from within the corridor neighborhood — the neighborhood generates the IP."",""owner_type"":""10"",""matched_via"":""ns-barclay"",""raw_address"":""3216 Barclay St"",""corridor_block"":32,""registration_no"":""0000000"",""uspto_status_cd"":""630"",""matched_location"":""3216 Barclay St""}",2023-07-31,,trademark,medium,98108812,Declassify UAP LLC,,uspto_trademark_case_files,pending,DECLASSIFY UAP,2026-07-11 12:39:22 -0400
120,"3216 Barclay St, Baltimore, MD, 21218",2026-07-11 12:38:46 -0400,"{""geo_box"":""core"",""evidence"":""Owner address of record falls inside the corridor IP box (ns-barclay) — USPTO Trademark Case Files; no held parcel, ground-anchored."",""relevance"":""A registered trademark filed from within the corridor neighborhood — the neighborhood generates the IP."",""owner_type"":""10"",""matched_via"":""ns-barclay"",""raw_address"":""3216 Barclay St"",""corridor_block"":32,""registration_no"":""0000000"",""uspto_status_cd"":""630"",""matched_location"":""3216 Barclay St""}",2023-07-31,,trademark,medium,98108828,Declassify UAP LLC,,uspto_trademark_case_files,pending,DECLASSIFY UAP,2026-07-11 12:39:22 -0400
121,"3216 Barclay St, Baltimore, MD, 21218",2026-07-11 12:38:46 -0400,"{""geo_box"":""core"",""evidence"":""Owner address of record falls inside the corridor IP box (ns-barclay) — USPTO Trademark Case Files; no held parcel, ground-anchored."",""relevance"":""A registered trademark filed from within the corridor neighborhood — the neighborhood generates the IP."",""owner_type"":""10"",""matched_via"":""ns-barclay"",""raw_address"":""3216 Barclay St"",""corridor_block"":32,""registration_no"":""0000000"",""uspto_status_cd"":""630"",""matched_location"":""3216 Barclay St""}",2023-07-31,,trademark,medium,98108850,Declassify UAP LLC,,uspto_trademark_case_files,pending,DECLASSIFY UAP,2026-07-11 12:39:22 -0400
238,"P.O. Box 24129, Baltimore, MD 21227",2026-07-12 13:05:53 -0400,"{""drawing"":""typed drawing (standard characters)"",""evidence"":""USPTO Trademark Search (interactive), owner 'Greenmount Moving \u0026 Storage, Inc.' = the Conklin family moving/storage company at 2602-2604 Greenmount Ave. The mark's First Use 'January 1910' corroborates the company's 1910 founding (resolving the 1910-vs-1915 question)."",""first_use"":""1910-01"",""mark_type"":""service mark"",""relevance"":""A corridor service mark tied to 2602 Greenmount (the Conklin warehouse). Missed by the address-based bulk import because the owner address of record is a P.O. Box, not the street."",""confidence"":""documented"",""status_detail"":""Registration cancelled 2000-12-23 (no Section 8 declaration filed)."",""goods_services"":""moving and storage of household items"",""source_document"":""USPTO Trademark Search, serial 74320840 (reg. 1787086)"",""international_class"":""039"",""registration_number"":""1787086"",""first_use_in_commerce"":""1910-01""}",1992-10-08,1993-08-10,trademark,high,74320840,"Greenmount Moving & Storage, Inc.",640,uspto_trademark_search,cancelled,GREENMOUNT,2026-07-13 18:41:03 -0400
239,"P.O. Box 24129, Baltimore, MD 21227",2026-07-12 13:05:53 -0400,"{""drawing"":""words plus design (laurel wreath + speed/wind lines; disclaimer 'SINCE 1910')"",""evidence"":""USPTO Trademark Search (interactive), owner 'Greenmount Moving \u0026 Storage, Inc.' = the Conklin family moving/storage company at 2602-2604 Greenmount Ave. The mark's First Use 'January 1910' corroborates the company's 1910 founding (resolving the 1910-vs-1915 question)."",""first_use"":""1910-01"",""mark_type"":""service mark"",""relevance"":""A corridor service mark tied to 2602 Greenmount (the Conklin warehouse). Missed by the address-based bulk import because the owner address of record is a P.O. Box, not the street."",""confidence"":""documented"",""status_detail"":""Registration not renewed; expired/cancelled 2004-05-15 (Sec. 8/9)."",""goods_services"":""moving and storage of household items"",""source_document"":""USPTO Trademark Search, serial 74320838 (reg. 1787085)"",""international_class"":""039"",""registration_number"":""1787085"",""first_use_in_commerce"":""1910-01""}",1992-10-08,1993-08-10,trademark,high,74320838,"Greenmount Moving & Storage, Inc.",640,uspto_trademark_search,expired,GREENMOUNT SINCE 1910,2026-07-13 18:41:03 -0400
240,"3215 Greenmount Ave, Baltimore, MD 21218",2026-07-14 05:57:38 -0400,"{""evidence"":""Maryland SDAT business entity register (D00740985): Butter Crisp Bakery, Inc."",""entity_id"":""D00740985"",""forfeited"":""1989-10-11"",""relevance"":""The bakery corporation that operated 3215 Greenmount 1977-1987 (the SDAT-entity stratum)."",""confidence"":""documented"",""entity_type"":""Corporation (Ordinary Business - Stock)"",""incorporated"":""1977-03-21"",""resident_agent"":""Michael Gotti"",""mailing_address"":""5900 Benton Heights Rd, Baltimore MD 21206"",""source_document"":""MD SDAT business entity D00740985"",""articles_film_folio"":""F2378/461""}",1977-03-21,,entity,high,D00740985,Michael Gotti (resident agent),760,sdat_business_entity,forfeited,"Butter Crisp Bakery, Inc.",2026-07-14 05:57:38 -0400
241,"3111 Greenmount Ave, Baltimore, MD",2026-08-12 23:25:54 -0400,"{""note"":""Chartered by the Maryland Legislature in 1886 to encourage thrift and providence among wage earners whose small deposits had not been sought after by the existing savings banks (NRHP B-2277). Operated the Waverly Branch at 3111 Greenmount from c.1916 until 19 Mar 1999. Converted mutual to stock 1987 as Provident Bankshares Corporation."",""clipped_by"":""whitepaper""}",1886-03-01,,entity,high,PROVIDENT-1886,Provident Savings Bank of Baltimore,738,whitepaper,registered,Provident Savings Bank of Baltimore,2026-08-12 23:25:54 -0400
242,"3111 Greenmount Ave, Baltimore, MD",2026-08-12 23:25:54 -0400,"{""note"":""M\u0026T Bank Corporation completed its acquisition of Provident Bankshares on 23 May 2009 and Provident Bank was merged into M\u0026T Bank, making M\u0026T the corporate successor to the institution that built and operated 3111 Greenmount. FDIC certificate 588, established 1 Jan 1856."",""clipped_by"":""whitepaper""}",2009-05-23,,entity,high,MTB-CERT-588,M&T Bank (Manufacturers and Traders Trust Company),738,whitepaper,registered,M&T Bank (Manufacturers and Traders Trust Company),2026-08-12 23:25:54 -0400
